id,id_karyawan,nik,tanggal,shift,jadwal_masuk,jadwal_pulang,jam_masuk,jam_keluar,terlambat,plg_cepat,absent,lembur,jml_jamkerja,id_departement,jam_kerja,partner,created_at,updated_at
13724,141,RTI,2/4/2025,,09:05:00,17:30:00,07:11:11,17:44:46,,,,00:14:46,10:18:49,47,10:33:35,2,2/4/2025 07:21:50,2/4/2025 17:55:12
13725,80,RTI007,2/4/2025,,09:05:00,17:30:00,08:25:19,19:12:31,,,,01:42:31,09:04:41,48,10:47:12,2,2/4/2025 08:33:54,2/4/2025 19:25:10
13726,74,RTI001,2/4/2025,,09:05:00,17:30:00,08:30:44,17:34:03,,,,00:04:03,08:59:16,50,09:03:19,2,2/4/2025 08:41:57,2/4/2025 17:43:06
13727,77,RTI004,2/4/2025,,09:05:00,17:30:00,08:43:42,17:32:11,,,,00:02:11,08:46:18,49,08:48:29,2,2/4/2025 08:54:57,2/4/2025 17:43:06
13728,138,--,2/4/2025,,09:05:00,17:30:00,08:49:31,18:25:58,,,,00:55:58,08:40:29,46,09:36:27,2,2/4/2025 08:58:57,2/4/2025 18:36:09
13729,99,RTI026,2/4/2025,,09:05:00,17:30:00,08:57:29,17:39:18,,,,00:09:18,08:32:31,46,08:41:49,2,2/4/2025 09:12:11,5/7/2025 17:17:13
13730,137,RTI034,2/4/2025,,09:05:00,17:30:00,08:57:52,17:37:13,,,,00:07:13,08:32:08,46,08:39:21,2,2/4/2025 09:12:11,2/4/2025 17:46:58
13731,87,RTI014,2/4/2025,,09:05:00,17:30:00,08:58:06,,,,,,,46,,2,2/4/2025 09:12:11,2/4/2025 09:12:11
13732,100,RTI027,2/4/2025,,09:05:00,17:30:00,08:59:05,18:38:08,,,,01:08:08,08:30:55,46,09:39:03,2,2/4/2025 09:12:11,2/4/2025 18:49:08
13733,93,RTI020,2/4/2025,,09:05:00,17:30:00,09:00:25,17:28:36,,00:01:24,,,08:28:11,48,08:28:11,2,2/4/2025 09:12:11,2/4/2025 17:39:02
13734,91,RTI018,2/4/2025,,09:05:00,17:30:00,09:03:41,17:33:43,,,,00:03:43,08:26:19,48,08:30:02,2,2/4/2025 09:16:24,2/4/2025 17:43:06
13735,75,RTI002,2/4/2025,,09:05:00,17:30:00,09:06:33,17:34:33,00:01:33,,,00:04:33,08:23:27,49,08:28:00,2,2/4/2025 09:16:24,2/4/2025 17:46:58
13736,95,RTI022,2/4/2025,,09:05:00,17:30:00,09:07:58,18:38:02,00:02:58,,,01:08:02,08:22:02,47,09:30:04,2,2/4/2025 09:27:53,2/4/2025 18:49:08
13737,92,RTI019,2/4/2025,,09:05:00,17:30:00,09:08:13,18:25:12,00:03:13,,,00:55:12,08:21:47,46,09:16:59,2,2/4/2025 09:27:53,2/4/2025 18:36:09
13738,82,RTI009,2/4/2025,,09:05:00,17:30:00,09:08:35,17:32:07,00:03:35,,,00:02:07,08:21:25,48,08:23:32,2,2/4/2025 09:27:53,2/4/2025 17:43:06
13739,76,RTI003,2/4/2025,,09:05:00,17:30:00,09:17:02,18:08:26,00:12:02,,,00:38:26,08:12:58,49,08:51:24,2,2/4/2025 09:27:53,2/4/2025 18:20:07
13740,98,RTI025,2/4/2025,,09:05:00,17:30:00,09:17:17,,00:12:17,,,,,48,,2,2/4/2025 09:27:53,2/4/2025 09:27:53
13741,88,RTI015,2/4/2025,,09:05:00,17:30:00,09:17:37,17:31:53,00:12:37,,,00:01:53,08:12:23,50,08:14:16,2,2/4/2025 09:27:53,2/4/2025 17:43:06
13742,94,RTI021,2/4/2025,,09:05:00,17:30:00,09:20:17,17:31:47,00:15:17,,,00:01:47,08:09:43,46,08:11:30,2,2/4/2025 09:32:25,2/4/2025 17:43:06
13743,89,RTI016,2/4/2025,,09:05:00,17:30:00,09:36:57,17:29:29,00:31:57,,,,07:52:32,48,07:52:32,2,2/4/2025 09:46:33,2/4/2025 17:39:02
13744,97,RTI024,2/4/2025,,09:05:00,17:30:00,09:38:38,17:29:50,00:33:38,,,,07:51:12,49,07:51:12,2,2/4/2025 09:52:54,2/4/2025 17:39:02
13745,136,RTI035,2/4/2025,,09:05:00,17:30:00,09:48:10,17:33:13,00:43:10,,,00:03:13,07:41:50,46,07:45:03,2,2/4/2025 09:57:43,2/4/2025 17:43:06
13746,79,RTI006,2/4/2025,,09:05:00,17:30:00,10:39:16,19:20:45,01:34:16,,,01:50:45,06:50:44,50,08:41:29,2,2/4/2025 10:51:51,5/7/2025 17:17:14
13747,140,-,2/5/2025,,09:05:00,17:30:00,06:08:38,,,,,,,47,,2,2/5/2025 06:20:57,2/5/2025 06:20:57
13748,83,RTI010,2/5/2025,,09:05:00,17:30:00,07:07:38,17:34:09,,,,00:04:09,10:22:22,49,10:26:31,2,2/5/2025 07:17:01,2/5/2025 17:43:13
13749,80,RTI007,2/5/2025,,09:05:00,17:30:00,08:18:53,17:27:16,,00:02:44,,,09:08:23,48,09:08:23,2,2/5/2025 08:29:00,2/5/2025 17:38:33
13750,74,RTI001,2/5/2025,,09:05:00,17:30:00,08:27:47,17:34:01,,,,00:04:01,09:02:13,50,09:06:14,2,2/5/2025 08:37:06,2/5/2025 17:43:13
13751,136,RTI035,2/5/2025,,09:05:00,17:30:00,08:45:30,17:28:48,,00:01:12,,,08:43:18,46,08:43:18,2,2/5/2025 08:57:03,2/5/2025 17:38:33
13752,138,--,2/5/2025,,09:05:00,17:30:00,08:49:10,17:26:54,,00:03:06,,,08:37:44,46,08:37:44,2,2/5/2025 09:00:57,2/5/2025 17:38:32
13753,100,RTI027,2/5/2025,,09:05:00,17:30:00,08:51:38,17:27:09,,00:02:51,,,08:35:31,46,08:35:31,2,2/5/2025 09:00:57,2/5/2025 17:38:33
13754,93,RTI020,2/5/2025,,09:05:00,17:30:00,08:53:45,17:27:37,,00:02:23,,,08:33:52,48,08:33:52,2,2/5/2025 09:05:13,2/5/2025 17:38:33
13755,87,RTI014,2/5/2025,,09:05:00,17:30:00,08:55:55,17:28:41,,00:01:19,,,08:32:46,46,08:32:46,2,2/5/2025 09:05:13,2/5/2025 17:38:33
13756,77,RTI004,2/5/2025,,09:05:00,17:30:00,08:57:48,,,,,,,49,,2,2/5/2025 09:10:01,2/5/2025 09:10:01
13757,99,RTI026,2/5/2025,,09:05:00,17:30:00,08:58:26,08:58:40,,08:31:20,,,00:00:14,46,00:00:14,2,2/5/2025 09:10:01,2/5/2025 09:10:01
13758,95,RTI022,2/5/2025,,09:05:00,17:30:00,08:59:11,17:27:00,,00:03:00,,,08:27:49,47,08:27:49,2,2/5/2025 09:10:01,5/7/2025 17:17:16
13759,76,RTI003,2/5/2025,,09:05:00,17:30:00,09:00:40,,,,,,,49,,2,2/5/2025 09:15:53,2/5/2025 09:15:53
13760,92,RTI019,2/5/2025,,09:05:00,17:30:00,09:01:29,17:26:44,,00:03:16,,,08:25:15,46,08:25:15,2,2/5/2025 09:15:54,2/5/2025 17:38:32
13761,137,RTI034,2/5/2025,,09:05:00,17:30:00,09:01:50,17:31:12,,,,00:01:12,08:28:10,46,08:29:22,2,2/5/2025 09:15:54,2/5/2025 17:43:13
13762,94,RTI021,2/5/2025,,09:05:00,17:30:00,09:02:49,17:29:28,,,,,08:26:39,46,08:26:39,2,2/5/2025 09:15:54,2/5/2025 17:43:13
13763,75,RTI002,2/5/2025,,09:05:00,17:30:00,09:10:44,17:31:02,00:05:44,,,00:01:02,08:19:16,49,08:20:18,2,2/5/2025 09:20:50,2/5/2025 17:43:13
13764,91,RTI018,2/5/2025,,09:05:00,17:30:00,09:10:49,17:29:42,00:05:49,,,,08:18:53,48,08:18:53,2,2/5/2025 09:20:50,2/5/2025 17:43:13
13765,98,RTI025,2/5/2025,,09:05:00,17:30:00,09:11:29,,00:06:29,,,,,48,,2,2/5/2025 09:26:16,2/5/2025 09:26:16
13766,82,RTI009,2/5/2025,,09:05:00,17:30:00,09:12:08,17:30:08,00:07:08,,,00:00:08,08:17:52,48,08:18:00,2,2/5/2025 09:26:18,2/5/2025 17:43:13
13767,88,RTI015,2/5/2025,,09:05:00,17:30:00,09:24:34,17:31:20,00:19:34,,,00:01:20,08:05:26,50,08:06:46,2,2/5/2025 09:37:24,2/5/2025 17:43:13
13768,97,RTI024,2/5/2025,,09:05:00,17:30:00,09:41:34,17:28:19,00:36:34,00:01:41,,,07:46:45,49,07:46:45,2,2/5/2025 09:52:35,2/5/2025 17:38:33
13769,89,RTI016,2/5/2025,,09:05:00,17:30:00,09:42:43,17:28:09,00:37:43,00:01:51,,,07:45:26,48,07:45:26,2,2/5/2025 09:52:35,2/5/2025 17:38:33
13770,79,RTI006,2/5/2025,,09:05:00,17:30:00,09:56:08,,00:51:08,,,,,50,,2,2/5/2025 10:07:31,2/5/2025 10:07:31
13771,141,RTI,2/5/2025,,09:05:00,17:30:00,,17:43:54,08:38:54,,,,,47,,2,2/5/2025 17:56:07,2/5/2025 17:56:07
13772,140,-,2/6/2025,,09:05:00,17:30:00,06:05:43,,,,,,,47,,2,2/6/2025 06:18:17,2/6/2025 06:18:17
13773,141,RTI,2/6/2025,,09:05:00,17:30:00,07:10:59,17:42:45,,,,00:12:45,10:19:01,47,10:31:46,2,2/6/2025 07:24:13,2/6/2025 17:53:18
13774,83,RTI010,2/6/2025,,09:05:00,17:30:00,07:11:42,17:29:07,,,,,10:17:25,49,10:17:25,2,2/6/2025 07:24:14,2/6/2025 17:38:18
13775,80,RTI007,2/6/2025,,09:05:00,17:30:00,08:27:39,17:26:45,,00:03:15,,,08:59:06,48,08:59:06,2,2/6/2025 08:39:18,2/6/2025 17:38:17
13776,74,RTI001,2/6/2025,,09:05:00,17:30:00,08:27:50,17:33:09,,,,00:03:09,09:02:10,50,09:05:19,2,2/6/2025 08:39:18,2/6/2025 17:43:16
13777,137,RTI034,2/6/2025,,09:05:00,17:30:00,08:46:44,17:32:19,,,,00:02:19,08:43:16,46,08:45:35,2,2/6/2025 08:56:11,2/6/2025 17:43:16
13778,75,RTI002,2/6/2025,,09:05:00,17:30:00,08:57:32,17:30:47,,,,00:00:47,08:32:28,49,08:33:15,2,2/6/2025 09:10:27,5/7/2025 17:17:17
13779,77,RTI004,2/6/2025,,09:05:00,17:30:00,08:58:47,17:31:41,,,,00:01:41,08:31:13,49,08:32:54,2,2/6/2025 09:10:28,2/6/2025 17:43:16
13780,99,RTI026,2/6/2025,,09:05:00,17:30:00,08:58:53,17:28:11,,00:01:49,,,08:29:18,46,08:29:18,2,2/6/2025 09:10:28,2/6/2025 17:38:18
13781,76,RTI003,2/6/2025,,09:05:00,17:30:00,08:59:06,17:33:03,,,,00:03:03,08:30:54,49,08:33:57,2,2/6/2025 09:10:28,5/7/2025 17:17:17
13782,82,RTI009,2/6/2025,,09:05:00,17:30:00,08:59:56,17:32:49,,,,00:02:49,08:30:04,48,08:32:53,2,2/6/2025 09:10:28,2/6/2025 17:43:16
13783,95,RTI022,2/6/2025,,09:05:00,17:30:00,09:01:38,17:27:10,,00:02:50,,,08:25:32,47,08:25:32,2,2/6/2025 09:16:08,2/6/2025 17:38:18
13784,91,RTI018,2/6/2025,,09:05:00,17:30:00,09:02:01,17:33:38,,,,00:03:38,08:27:59,48,08:31:37,2,2/6/2025 09:16:08,5/7/2025 17:17:18
13785,93,RTI020,2/6/2025,,09:05:00,17:30:00,09:02:39,17:28:42,,00:01:18,,,08:26:03,48,08:26:03,2,2/6/2025 09:16:09,2/6/2025 17:38:18
13786,87,RTI014,2/6/2025,,09:05:00,17:30:00,09:03:33,17:28:04,,00:01:56,,,08:24:31,46,08:24:31,2,2/6/2025 09:16:09,2/6/2025 17:38:18
13787,92,RTI019,2/6/2025,,09:05:00,17:30:00,09:04:03,17:27:42,,00:02:18,,,08:23:39,46,08:23:39,2,2/6/2025 09:16:09,2/6/2025 17:38:18
13788,138,--,2/6/2025,,09:05:00,17:30:00,09:07:08,17:26:35,00:02:08,00:03:25,,,08:19:27,46,08:19:27,2,2/6/2025 09:20:35,2/6/2025 17:38:17
13789,100,RTI027,2/6/2025,,09:05:00,17:30:00,09:09:33,17:27:00,00:04:33,00:03:00,,,08:17:27,46,08:17:27,2,2/6/2025 09:20:35,5/7/2025 17:17:17
13790,136,RTI035,2/6/2025,,09:05:00,17:30:00,09:14:35,17:32:55,00:09:35,,,00:02:55,08:15:25,46,08:18:20,2,2/6/2025 09:25:46,2/6/2025 17:43:16
13791,94,RTI021,2/6/2025,,09:05:00,17:30:00,09:14:55,17:31:10,00:09:55,,,00:01:10,08:15:05,46,08:16:15,2,2/6/2025 09:25:46,2/6/2025 17:43:16
13792,97,RTI024,2/6/2025,,09:05:00,17:30:00,09:29:03,17:28:31,00:24:03,00:01:29,,,07:59:28,49,07:59:28,2,2/6/2025 09:40:54,2/6/2025 17:38:18
13793,88,RTI015,2/6/2025,,09:05:00,17:30:00,09:37:36,17:42:09,00:32:36,,,00:12:09,07:52:24,50,08:04:33,2,2/6/2025 09:50:37,5/7/2025 17:17:18
13794,79,RTI006,2/6/2025,,09:05:00,17:30:00,10:02:15,18:50:39,00:57:15,,,01:20:39,07:27:45,50,08:48:24,2,2/6/2025 10:16:12,5/7/2025 17:17:18
13795,140,-,2/7/2025,,09:05:00,17:30:00,06:03:26,,,,,,,47,,2,2/7/2025 06:14:21,2/7/2025 06:14:21
13796,141,RTI,2/7/2025,,09:05:00,17:30:00,07:09:30,17:46:42,,,,00:16:42,10:20:30,47,10:37:12,2,2/7/2025 07:23:14,2/7/2025 17:56:10
13797,83,RTI010,2/7/2025,,09:05:00,17:30:00,07:13:36,17:28:44,,00:01:16,,,10:15:08,49,10:15:08,2,2/7/2025 07:23:14,2/7/2025 17:38:14
13798,76,RTI003,2/7/2025,,09:05:00,17:30:00,08:32:42,,,,,,,49,,2,2/7/2025 08:44:09,2/7/2025 08:44:09
13799,74,RTI001,2/7/2025,,09:05:00,17:30:00,08:40:55,17:38:06,,,,00:08:06,08:49:05,50,08:57:11,2,2/7/2025 08:53:13,2/7/2025 17:47:21
13800,80,RTI007,2/7/2025,,09:05:00,17:30:00,08:46:34,17:34:37,,,,00:04:37,08:43:26,48,08:48:03,2,2/7/2025 08:58:57,2/7/2025 17:47:21
13801,137,RTI034,2/7/2025,,09:05:00,17:30:00,08:50:43,17:33:49,,,,00:03:49,08:39:17,46,08:43:06,2,2/7/2025 09:03:36,2/7/2025 17:47:21
13802,138,--,2/7/2025,,09:05:00,17:30:00,08:56:51,17:27:07,,00:02:53,,,08:30:16,46,08:30:16,2,2/7/2025 09:08:29,2/7/2025 17:38:14
13803,77,RTI004,2/7/2025,,09:05:00,17:30:00,08:59:32,17:32:41,,,,00:02:41,08:30:28,49,08:33:09,2,2/7/2025 09:13:52,5/7/2025 17:17:18
13804,87,RTI014,2/7/2025,,09:05:00,17:30:00,09:01:18,17:28:57,,00:01:03,,,08:27:39,46,08:27:39,2,2/7/2025 09:13:52,2/7/2025 17:38:14
13805,93,RTI020,2/7/2025,,09:05:00,17:30:00,09:01:50,17:34:05,,,,00:04:05,08:28:10,48,08:32:15,2,2/7/2025 09:13:52,2/7/2025 17:47:21
13806,75,RTI002,2/7/2025,,09:05:00,17:30:00,09:02:01,17:34:16,,,,00:04:16,08:27:59,49,08:32:15,2,2/7/2025 09:13:52,2/7/2025 17:47:21
13807,100,RTI027,2/7/2025,,09:05:00,17:30:00,09:04:35,17:26:55,,00:03:05,,,08:22:20,46,08:22:20,2,2/7/2025 09:18:42,2/7/2025 17:38:13
13808,95,RTI022,2/7/2025,,09:05:00,17:30:00,09:08:48,17:27:37,00:03:48,00:02:23,,,08:18:49,47,08:18:49,2,2/7/2025 09:18:42,2/7/2025 17:38:14
13809,94,RTI021,2/7/2025,,09:05:00,17:30:00,09:12:41,17:34:10,00:07:41,,,00:04:10,08:17:19,46,08:21:29,2,2/7/2025 09:23:46,2/7/2025 17:47:21
13810,82,RTI009,2/7/2025,,09:05:00,17:30:00,09:14:38,17:33:00,00:09:38,,,00:03:00,08:15:22,48,08:18:22,2,2/7/2025 09:29:17,2/7/2025 17:42:23
13811,92,RTI019,2/7/2025,,09:05:00,17:30:00,09:16:17,17:27:14,00:11:17,00:02:46,,,08:10:57,46,08:10:57,2,2/7/2025 09:29:17,2/7/2025 17:38:14
13812,136,RTI035,2/7/2025,,09:05:00,17:30:00,09:16:49,17:33:30,00:11:49,,,00:03:30,08:13:11,46,08:16:41,2,2/7/2025 09:29:17,2/7/2025 17:47:21
13813,91,RTI018,2/7/2025,,09:05:00,17:30:00,09:18:04,17:32:36,00:13:04,,,00:02:36,08:11:56,48,08:14:32,2,2/7/2025 09:29:17,5/7/2025 17:17:18
13814,88,RTI015,2/7/2025,,09:05:00,17:30:00,09:30:01,17:33:56,00:25:01,,,00:03:56,07:59:59,50,08:03:55,2,2/7/2025 09:43:36,2/7/2025 17:47:21
13815,97,RTI024,2/7/2025,,09:05:00,17:30:00,09:31:04,17:31:46,00:26:04,,,00:01:46,07:58:56,49,08:00:42,2,2/7/2025 09:43:36,2/7/2025 17:42:23
13816,89,RTI016,2/7/2025,,09:05:00,17:30:00,09:35:37,,00:30:37,,,,,48,,2,2/7/2025 09:48:26,2/7/2025 09:48:26
13817,79,RTI006,2/7/2025,,09:05:00,17:30:00,09:56:58,18:39:39,00:51:58,,,01:09:39,07:33:02,50,08:42:41,2,2/7/2025 10:08:33,5/7/2025 17:17:19
13818,98,RTI025,2/7/2025,,09:05:00,17:30:00,10:32:08,,01:27:08,,,,,48,,2,2/7/2025 10:48:21,2/7/2025 10:48:21
13819,140,-,2/10/2025,,09:05:00,17:30:00,06:09:34,,,,,,,47,,2,2/10/2025 06:21:22,2/10/2025 06:21:22
13820,141,RTI,2/10/2025,,09:05:00,17:30:00,07:10:49,17:31:33,,,,00:01:33,10:19:11,47,10:20:44,2,2/10/2025 07:22:27,2/10/2025 17:43:27
13821,83,RTI010,2/10/2025,,09:05:00,17:30:00,07:16:58,17:55:36,,,,00:25:36,10:13:02,49,10:38:38,2,2/10/2025 07:27:29,2/10/2025 18:08:29
13822,80,RTI007,2/10/2025,,09:05:00,17:30:00,08:40:57,17:28:08,,00:01:52,,,08:47:11,48,08:47:11,2,2/10/2025 08:52:50,2/10/2025 17:38:38
13823,77,RTI004,2/10/2025,,09:05:00,17:30:00,08:42:37,12:24:26,,05:05:34,,,03:41:49,49,03:41:49,2,2/10/2025 08:52:50,2/10/2025 12:38:46
13824,138,--,2/10/2025,,09:05:00,17:30:00,08:45:47,17:28:01,,00:01:59,,,08:42:14,46,08:42:14,2,2/10/2025 08:57:46,2/10/2025 17:38:38
13825,136,RTI035,2/10/2025,,09:05:00,17:30:00,08:50:12,17:29:51,,,,,08:39:39,46,08:39:39,2,2/10/2025 09:03:18,2/10/2025 17:43:26
13826,92,RTI019,2/10/2025,,09:05:00,17:30:00,08:50:37,17:27:52,,00:02:08,,,08:37:15,46,08:37:15,2,2/10/2025 09:03:18,2/10/2025 17:38:38
13827,87,RTI014,2/10/2025,,09:05:00,17:30:00,08:50:42,17:28:13,,00:01:47,,,08:37:31,46,08:37:31,2,2/10/2025 09:03:18,2/10/2025 17:38:38
13828,99,RTI026,2/10/2025,,09:05:00,17:30:00,08:50:55,08:50:58,,08:39:02,,,00:00:03,46,00:00:03,2,2/10/2025 09:03:18,2/10/2025 09:03:18
13829,93,RTI020,2/10/2025,,09:05:00,17:30:00,08:54:09,17:30:18,,,,00:00:18,08:35:51,48,08:36:09,2,2/10/2025 09:09:53,2/10/2025 17:43:27
13830,100,RTI027,2/10/2025,,09:05:00,17:30:00,08:54:36,17:28:32,,00:01:28,,,08:33:56,46,08:33:56,2,2/10/2025 09:09:53,2/10/2025 17:38:38
13831,95,RTI022,2/10/2025,,09:05:00,17:30:00,08:56:02,17:28:46,,00:01:14,,,08:32:44,47,08:32:44,2,2/10/2025 09:09:53,2/10/2025 17:38:38
13832,82,RTI009,2/10/2025,,09:05:00,17:30:00,08:56:41,,,,,,,48,,2,2/10/2025 09:09:53,2/10/2025 09:09:53
13833,97,RTI024,2/10/2025,,09:05:00,17:30:00,09:01:38,17:30:06,,,,00:00:06,08:28:22,49,08:28:28,2,2/10/2025 09:15:56,2/10/2025 17:43:26
13834,94,RTI021,2/10/2025,,09:05:00,17:30:00,09:02:05,17:32:48,,,,00:02:48,08:27:55,46,08:30:43,2,2/10/2025 09:15:56,2/10/2025 17:43:27
13835,91,RTI018,2/10/2025,,09:05:00,17:30:00,09:02:16,17:33:06,,,,00:03:06,08:27:44,48,08:30:50,2,2/10/2025 09:15:57,2/10/2025 17:43:27
13836,75,RTI002,2/10/2025,,09:05:00,17:30:00,09:03:56,17:33:30,,,,00:03:30,08:26:04,49,08:29:34,2,2/10/2025 09:15:57,2/10/2025 17:43:27
13837,76,RTI003,2/10/2025,,09:05:00,17:30:00,09:12:13,17:33:40,00:07:13,,,00:03:40,08:17:47,49,08:21:27,2,2/10/2025 09:26:24,5/7/2025 17:17:20
13838,137,RTI034,2/10/2025,,09:05:00,17:30:00,09:14:51,17:33:16,00:09:51,,,00:03:16,08:15:09,46,08:18:25,2,2/10/2025 09:26:24,2/10/2025 17:43:27
13839,98,RTI025,2/10/2025,,09:05:00,17:30:00,09:28:35,,00:23:35,,,,,48,,2,2/10/2025 09:43:22,2/10/2025 09:43:22
13840,89,RTI016,2/10/2025,,09:05:00,17:30:00,09:44:34,,00:39:34,,,,,48,,2,2/10/2025 10:00:02,2/10/2025 10:00:02
13841,88,RTI015,2/10/2025,,09:05:00,17:30:00,10:03:29,17:36:50,00:58:29,,,00:06:50,07:26:31,50,07:33:21,2,2/10/2025 10:15:54,2/10/2025 17:48:20
13842,79,RTI006,2/10/2025,,09:05:00,17:30:00,10:07:17,18:21:15,01:02:17,,,00:51:15,07:22:43,50,08:13:58,2,2/10/2025 10:20:59,5/7/2025 17:17:20
13843,74,RTI001,2/10/2025,,09:05:00,17:30:00,,17:33:44,08:28:44,,,,,50,,2,2/10/2025 17:43:27,2/10/2025 17:43:27
13844,140,-,2/11/2025,,09:05:00,17:30:00,06:12:14,,,,,,,47,,2,2/11/2025 06:25:16,2/11/2025 06:25:16
13845,83,RTI010,2/11/2025,,09:05:00,17:30:00,07:03:56,17:37:34,,,,00:07:34,10:26:04,49,10:33:38,2,2/11/2025 07:14:19,2/11/2025 17:52:19
13846,141,RTI,2/11/2025,,09:05:00,17:30:00,07:09:27,17:30:28,,,,00:00:28,10:20:33,47,10:21:01,2,2/11/2025 07:20:42,2/11/2025 17:41:34
13847,74,RTI001,2/11/2025,,09:05:00,17:30:00,08:22:46,17:47:08,,,,00:17:08,09:07:14,50,09:24:22,2,2/11/2025 08:34:21,5/7/2025 17:17:21
